Quantity,Name,Expansion,Cardmarket ID,Foil,Condition,Language
2,Sol Ring,Commander 2019,123456,No,NM,English
1,Lightning Bolt,Magic 2010,234567,No,LP,English
3,Llanowar Elves,Dominaria,345678,No,NM,English
1,Counterspell,Master's Edition,456789,Yes,NM,English
4,Swords to Plowshares,Ice Age,567890,No,MP,English
1,Birds of Paradise,Ravnica: City of Guilds,678901,Yes,NM,English
2,Brainstorm,Ice Age,789012,No,NM,English
1,Dark Ritual,Fourth Edition,890123,No,HP,English
1,Cultivate,Magic 2011,901234,No,NM,English
2,Rampant Growth,Tempest,112233,No,LP,English
1,Wrath of God,Tenth Edition,223344,No,NM,English
1,Demonic Tutor,Revised Edition,334455,No,MP,English
